Saving model. Step: 15200, loss: 49.572996
Saving model. Step: 15300, loss: 49.237067
Saving model. Step: 15400, loss: 48.038765
Saving model. Step: 15500, loss: 49.590460
Saving model. Step: 15600, loss: 49.731426
Saving model. Step: 15700, loss: 50.191889
Saving model. Step: 15800, loss: 49.743350
Saving model. Step: 15900, loss: 51.079091
Saving model. Step: 16000, loss: 49.990027
Saving model. Step: 16100, loss: 49.148001
Saving model. Step: 16200, loss: 48.553843
Saving model. Step: 16300, loss: 50.529773
Saving model. Step: 16400, loss: 50.218327
Saving model. Step: 16500, loss: 48.222016
Saving model. Step: 16600, loss: 50.258664
Saving model. Step: 16700, loss: 50.061281
Saving model. Step: 16800, loss: 49.117285
Saving model. Step: 16900, loss: 50.067668
Saving model. Step: 17000, loss: 49.227195
Saving model. Step: 17100, loss: 50.099326
Saving model. Step: 17200, loss: 48.096690
Saving model. Step: 17300, loss: 48.130571
Saving model. Step: 17400, loss: 49.088362
Saving model. Step: 17500, loss: 49.213090
Saving model. Step: 17600, loss: 49.251726
Saving model. Step: 17700, loss: 50.317591
Saving model. Step: 17800, loss: 49.531110
Saving model. Step: 17900, loss: 48.261922
Saving model. Step: 18000, loss: 47.944171
Saving model. Step: 18100, loss: 49.846734
Saving model. Step: 18200, loss: 49.144933
Saving model. Step: 18300, loss: 47.304404
Saving model. Step: 18400, loss: 48.500720
Saving model. Step: 18500, loss: 48.130725
Saving model. Step: 18600, loss: 50.196005
Saving model. Step: 18700, loss: 48.540299
Saving model. Step: 18800, loss: 48.554213
Saving model. Step: 18900, loss: 48.885025
Saving model. Step: 19000, loss: 48.238939
Saving model. Step: 19100, loss: 48.281799
Saving model. Step: 19200, loss: 48.063741
Saving model. Step: 19300, loss: 47.706384
Saving model. Step: 19400, loss: 48.373694
Saving model. Step: 19500, loss: 48.411992
Saving model. Step: 19600, loss: 49.413237
Saving model. Step: 19700, loss: 49.106374
Saving model. Step: 19800, loss: 47.043073
Saving model. Step: 19900, loss: 47.963654
Saving model. Step: 20000, loss: 48.916136
Saving model. Step: 20100, loss: 48.269948
Saving model. Step: 20200, loss: 48.706753
Saving model. Step: 20300, loss: 48.436138
Saving model. Step: 20400, loss: 48.854473
Saving model. Step: 20500, loss: 47.823621
Saving model. Step: 20600, loss: 47.761870
Saving model. Step: 20700, loss: 47.830741
Saving model. Step: 20800, loss: 48.801521
Saving model. Step: 20900, loss: 46.831412
Saving model. Step: 21000, loss: 49.394914
Saving model. Step: 21100, loss: 47.731609
Saving model. Step: 21200, loss: 47.507330
Saving model. Step: 21300, loss: 48.214571
Saving model. Step: 21400, loss: 47.704392
Saving model. Step: 21500, loss: 47.612228
Saving model. Step: 21600, loss: 48.146270
Saving model. Step: 21700, loss: 46.568394
Saving model. Step: 21800, loss: 47.776122
Saving model. Step: 21900, loss: 47.963135
